unlearn_lang,en,fr,ru,ar,ja,fa,hi,ko,iw,id
en,0.004179070376636148,0.1406988365270494,0.38297178138010485,0.5960257137422537,0.5479466208228085,0.6469918614117462,0.8073266490169847,0.23834469712380504,0.563579639723606,0.18695789142286162
fr,0.1236430484112421,0.0039537984384975244,0.35628519159036065,0.517189740582363,0.6389897066834929,0.5697969737889377,0.8529244542907699,0.28882026356042084,0.5358952860454873,0.2055414106177253
ru,0.19687365473711435,0.24210568984968497,0.0031302032423014972,0.504012929463937,0.4087542739747007,0.34232141440798936,0.48691636437119956,0.36091954836377854,0.35985800913965643,0.1871134647805684
ar,0.49023603320790843,0.49594335768244757,0.5584645109882033,0.007601010272321521,0.6798370949967888,0.4551044128760911,0.8285387833501852,0.6639034160100706,0.5570245293891428,0.5685142168009384
ja,0.4350528767053242,0.4937655892811163,0.4727046259116566,0.6128638761851228,0.0002672121037730686,0.5149296537768818,0.5521970520963704,0.19148236071710795,0.568786344489139,0.4506097596217404
fa,0.5703160806357817,0.5165166676228353,0.39140413327941037,0.30978385030083067,0.5351379595546699,0.0007930061421236876,0.6400650711944803,0.5890698133824822,0.4693270703206654,0.5160337433470484
hi,0.7202617228479172,0.7737920161061601,0.6610766097467619,0.7314067119723072,0.5124836770516832,0.5919719974896435,0.03176146773760407,0.5435158140897726,0.7233437270467954,0.7197279356654155
ko,0.12110422037266873,0.2724925755384086,0.49055876598337816,0.7020564552342737,0.29893397274843264,0.6260528140172861,0.7239056957120563,0.001680704875644479,0.675863715095169,0.27313074210727656
iw,0.2704825626975516,0.2773371086556113,0.26258871511869863,0.49538738326504855,0.5236436549080968,0.4306964861460256,0.6624926987042795,0.399329745756431,0.004443913208737599,0.27470583247772
id,0.06308640276203763,0.06674573626400902,0.22686137977652546,0.4089199921507323,0.4659042235427908,0.3843705028066759,0.6774366166383686,0.2150620356035576,0.3855322992734497,0.0023971375895808734
