unlearn_lang,en,fr,ru,ar,ja,fa,hi,ko,iw,id
en,0.7731330898506726,0.818449361661611,0.9050513389298335,0.9178245177919551,0.9067569765385576,0.9258106974292887,0.9524890493279214,0.9113769166634914,0.9238507139517791,0.8970636582651681
fr,0.9098608441756239,0.812405997045276,0.9048779203140886,0.9058121802817263,0.9042284539947839,0.9075415115632005,0.9492664751797436,0.9061092902991179,0.9154526997451008,0.9084921354531668
ru,0.8738615350625687,0.8936057136878858,0.5640975254164727,0.885014864231615,0.8582941231618185,0.8704904698101967,0.9265143058063927,0.8629239582841782,0.8838616366387467,0.8758840721847299
ar,0.9443745693835339,0.9427214934536026,0.9206740231379497,0.8053217665433894,0.9176780745238559,0.9100609060775111,0.9515838890845153,0.92529870518374,0.9170822426823874,0.9243628229489785
ja,0.9185797421959264,0.9285477101251407,0.8898099696255428,0.8952434324622898,0.6200299425408362,0.8914997692070132,0.905163018524773,0.7871821552114948,0.9100514814321435,0.9153985879040383
fa,0.9161193288247933,0.8924882566857296,0.8555269836082947,0.8344889642623301,0.8560829017504017,0.647174579186581,0.9102722452393438,0.8510595533223516,0.8556284683782674,0.8591052209124698
hi,0.9485961963516334,0.9497981896117639,0.927652125256751,0.9176857408996899,0.8688417843646812,0.910120913424609,0.7669255894902937,0.8709111848513974,0.9232473480075624,0.9324960090089278
ko,0.9353243559547111,0.9426001305307713,0.9295162827672919,0.9189536110788386,0.81858043867625,0.9120238990674,0.9322059288219313,0.710805890703198,0.9335968599243689,0.9351531813847829
iw,0.9200730337201252,0.912910791567031,0.8816097669625302,0.8763083768042713,0.8818682176459105,0.8694166585914659,0.9278140000277829,0.8801080833060031,0.7703861416997433,0.8882437129065114
id,0.8295830629294522,0.8367456939574611,0.8227023857013156,0.8440581805936828,0.8727961013176915,0.8426007365802126,0.9235368388375266,0.8617484117757093,0.848674724049445,0.5801570533371971
