,eng,fra,rus,arb,jpn,fas,hin,kor,heb,ind
eng,0.000000,0.500000,0.500000,0.800000,0.600000,0.600000,0.500000,0.500000,0.600000,0.500000
fra,0.500000,0.000000,0.500000,0.800000,0.600000,0.600000,0.500000,0.600000,0.600000,0.500000
rus,0.500000,0.500000,0.000000,0.800000,0.600000,0.600000,0.500000,0.600000,0.600000,0.500000
arb,0.800000,0.800000,0.800000,0.000000,0.900000,0.800000,0.900000,0.900000,0.700000,0.800000
jpn,0.600000,0.600000,0.600000,0.900000,0.000000,0.600000,0.500000,0.500000,0.700000,0.600000
fas,0.600000,0.600000,0.600000,0.800000,0.600000,0.000000,0.600000,0.600000,0.700000,0.600000
hin,0.500000,0.500000,0.500000,0.900000,0.500000,0.600000,0.000000,0.500000,0.600000,0.500000
kor,0.500000,0.600000,0.600000,0.900000,0.500000,0.600000,0.500000,0.000000,0.600000,0.600000
heb,0.600000,0.600000,0.600000,0.700000,0.700000,0.700000,0.600000,0.600000,0.000000,0.600000
ind,0.500000,0.500000,0.500000,0.800000,0.600000,0.600000,0.500000,0.600000,0.600000,0.000000
