,eng,fra,rus,arb,jpn,fas,hin,kor,heb,ind
eng,0.000000,0.900000,0.900000,1.000000,1.000000,1.000000,0.900000,1.000000,1.000000,1.000000
fra,0.900000,0.000000,0.937500,1.000000,1.000000,1.000000,0.937500,1.000000,1.000000,1.000000
rus,0.900000,0.937500,0.000000,1.000000,1.000000,1.000000,0.875000,1.000000,1.000000,1.000000
arb,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000
jpn,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
fas,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
hin,0.900000,0.937500,0.875000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
kor,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000
heb,1.000000,1.000000,1.000000,0.500000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000
ind,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000
