,eng,fra,rus,arb,jpn,fas,hin,kor,heb,ind
eng,0.000000,0.000000,0.200000,0.200000,0.500000,1.000000,0.400000,0.400000,0.200000,0.600000
fra,0.000000,0.000000,0.200000,0.200000,0.500000,1.000000,0.300000,0.500000,0.200000,0.600000
rus,0.200000,0.200000,0.000000,0.200000,0.300000,1.000000,0.200000,0.200000,0.200000,0.400000
arb,0.200000,0.200000,0.200000,0.000000,0.400000,1.000000,0.200000,0.400000,0.000000,0.400000
jpn,0.500000,0.500000,0.300000,0.400000,0.000000,1.000000,0.300000,0.000000,0.400000,0.300000
fas,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
hin,0.400000,0.300000,0.200000,0.200000,0.300000,1.000000,0.000000,0.200000,0.200000,0.300000
kor,0.400000,0.500000,0.200000,0.400000,0.000000,1.000000,0.200000,0.000000,0.400000,0.300000
heb,0.200000,0.200000,0.200000,0.000000,0.400000,1.000000,0.200000,0.400000,0.000000,0.400000
ind,0.600000,0.600000,0.400000,0.400000,0.300000,1.000000,0.300000,0.300000,0.400000,0.000000
