,eng,fra,rus,arb,jpn,fas,hin,kor,heb,ind
eng,0.000000,0.475300,0.559400,0.598300,0.547200,0.598300,0.468400,0.486600,0.554900,0.454600
fra,0.475300,0.000000,0.515200,0.602500,0.505200,0.602500,0.461800,0.480400,0.608200,0.468800
rus,0.559400,0.515200,0.000000,0.688000,0.541200,0.688000,0.601500,0.651100,0.615600,0.503000
arb,0.598300,0.602500,0.688000,0.000000,0.659700,0.000000,0.536300,0.673700,0.702800,0.669000
jpn,0.547200,0.505200,0.541200,0.659700,0.000000,0.659700,0.498000,0.520400,0.562000,0.459900
fas,0.598300,0.602500,0.688000,0.000000,0.659700,0.000000,0.536300,0.673700,0.702800,0.669000
hin,0.468400,0.461800,0.601500,0.536300,0.498000,0.536300,0.000000,0.558000,0.562900,0.481600
kor,0.486600,0.480400,0.651100,0.673700,0.520400,0.673700,0.558000,0.000000,0.588600,0.456900
heb,0.554900,0.608200,0.615600,0.702800,0.562000,0.702800,0.562900,0.588600,0.000000,0.499500
ind,0.454600,0.468800,0.503000,0.669000,0.459900,0.669000,0.481600,0.456900,0.499500,0.000000
