,eng,fra,rus,arb,jpn,fas,hin,kor,heb,ind
eng,0.000000,0.427000,0.280400,0.568700,0.503200,0.568700,0.343300,0.463800,0.568700,0.273600
fra,0.427000,0.000000,0.333300,0.545600,0.440700,0.545600,0.267700,0.580400,0.545600,0.427000
rus,0.280400,0.333300,0.000000,0.616200,0.432700,0.616200,0.204800,0.500000,0.616200,0.280400
arb,0.568700,0.545600,0.616200,0.000000,0.616200,0.000200,0.592200,0.641000,0.000200,0.568700
jpn,0.503200,0.440700,0.432700,0.616200,0.000000,0.616200,0.471700,0.687500,0.616200,0.503200
fas,0.568700,0.545600,0.616200,0.000200,0.616200,0.000000,0.592200,0.641000,0.000200,0.568700
hin,0.343300,0.267700,0.204800,0.592200,0.471700,0.592200,0.000000,0.531900,0.592200,0.343300
kor,0.463800,0.580400,0.500000,0.641000,0.687500,0.641000,0.531900,0.000000,0.641000,0.463800
heb,0.568700,0.545600,0.616200,0.000200,0.616200,0.000200,0.592200,0.641000,0.000000,0.568700
ind,0.273600,0.427000,0.280400,0.568700,0.503200,0.568700,0.343300,0.463800,0.568700,0.000000
