,eng,fra,rus,arb,jpn,fas,hin,kor,heb,ind
eng,0.000000,0.460000,0.490000,0.670000,0.660000,0.570000,0.590000,0.620000,0.520000,0.520000
fra,0.460000,0.000000,0.510000,0.670000,0.710000,0.570000,0.580000,0.690000,0.470000,0.560000
rus,0.490000,0.510000,0.000000,0.670000,0.660000,0.570000,0.500000,0.560000,0.430000,0.610000
arb,0.670000,0.670000,0.670000,0.000000,0.870000,0.670000,0.740000,0.810000,0.600000,0.600000
jpn,0.660000,0.710000,0.660000,0.870000,0.000000,0.590000,0.600000,0.400000,0.690000,0.760000
fas,0.570000,0.570000,0.570000,0.670000,0.590000,0.000000,0.580000,0.570000,0.540000,0.620000
hin,0.590000,0.580000,0.500000,0.740000,0.600000,0.580000,0.000000,0.470000,0.530000,0.670000
kor,0.620000,0.690000,0.560000,0.810000,0.400000,0.570000,0.470000,0.000000,0.660000,0.700000
heb,0.520000,0.470000,0.430000,0.600000,0.690000,0.540000,0.530000,0.660000,0.000000,0.540000
ind,0.520000,0.560000,0.610000,0.600000,0.760000,0.620000,0.670000,0.700000,0.540000,0.000000
