unlearn_lang,en,fr,ru,ar,ja,fa,hi,ko,iw,id
en,0.0016112086038339187,0.24733741522902974,0.4987004839948753,0.6905887824194511,0.6306903748218822,0.7230941150513722,0.8796838399540434,0.3244589490914436,0.659847450702421,0.29630228657066643
fr,0.32734166226986083,0.03384835626994271,0.503954035690848,0.6704800739274003,0.7159916695781362,0.7098621999019837,0.883979778627978,0.4436311870530497,0.6694114680947006,0.259568683237824
ru,0.46332607791213615,0.5234416136593953,0.007868292136538679,0.6501885248426719,0.6840704811240892,0.6644005675431316,0.8207758520200457,0.6745341489276151,0.663119203160889,0.45868464884169086
ar,0.6900767103797939,0.6585552910369341,0.7113057350981388,0.011093725907490354,0.8106811199492789,0.5842579362080613,0.8983814786982015,0.801441239908188,0.695964328367712,0.656234593652338
ja,0.7001547272489906,0.7077036642065663,0.7367785146278395,0.8052809921156142,0.0029287480403390066,0.7466745740317301,0.7712429463729658,0.31393657294169,0.7814710578370733,0.7414939455405332
fa,0.6837417965652152,0.6555416963345468,0.5746893624023888,0.4565763268680367,0.7148113025411355,0.0021936633385443967,0.767686436184987,0.7183046340338881,0.6275924365455859,0.6277532963742306
hi,0.7986055248000286,0.8121910055868751,0.7624569302273676,0.7861446466380342,0.6122252023200507,0.6920158118380902,0.045931102424565946,0.6798189926799724,0.8288454480357239,0.8650613256966615
ko,0.29194838857588173,0.4390219199705933,0.6473972257064599,0.7708382451203506,0.37734041424949005,0.7437184554091129,0.8010250795898859,0.002783943023500884,0.7973807638084178,0.4494114539904181
iw,0.6423597015515694,0.613908044429749,0.610054922341269,0.5778953290903394,0.7272997566354481,0.6510777210368174,0.8630447762879652,0.7378459046065158,0.007696802396809032,0.6121151959087426
id,0.34477615454677496,0.2953503785708834,0.552756075320666,0.6352241318146007,0.732179078563199,0.6648266968030068,0.8381973423320379,0.5410749589510342,0.6023298670164827,0.004356425672639864
