unlearn_lang,en,fr,ru,ar,ja,fa,hi,ko,iw,id
en,0.7533469666324593,0.8964236290289517,0.9035282196527632,0.9176267355345843,0.8985171360487825,0.925666872102821,0.9526756915315172,0.9091240809937634,0.9235269074826425,0.9121005145651397
fr,0.9289544656711461,0.8610662938301017,0.9213704234264108,0.923343661797699,0.9206935154974858,0.9255250225865611,0.9581051781172577,0.9259416683234242,0.9308954074582437,0.9226680690230291
ru,0.9124798292048761,0.9063126872640561,0.7757156781390327,0.8939949299483183,0.8733410313286946,0.8871514791327778,0.9369559761377111,0.8772654895466563,0.8988222710988086,0.8935929019777158
ar,0.9357576306727544,0.9221719694694654,0.8954551759347901,0.7914170271577701,0.8946209396913691,0.8848912223184936,0.94075012066965,0.8934099053164827,0.8987785584213367,0.9012496480441373
ja,0.9424859208609141,0.9469512868575232,0.9200039136099759,0.9253434202470987,0.7408799059299488,0.9160785646193882,0.9329378412299413,0.8374998078171321,0.9344903897071051,0.9357929269805556
fa,0.9444084494619692,0.9371742262995361,0.9133677846757539,0.8939554650537298,0.9020177897099467,0.7493923889417805,0.9417982006280426,0.889364080463677,0.9098312026017967,0.9159146568917398
hi,0.9582051824209967,0.9605607751304206,0.9366155458403657,0.9325968545231185,0.893554883561232,0.9211208192956266,0.8515814603335679,0.8953320769871673,0.9370817511447687,0.950703089724422
ko,0.9481445427819033,0.9518083144859099,0.9302515947919803,0.9271684804922429,0.847581820038853,0.9157550565152732,0.9364406626708878,0.7554641656903085,0.9358931890121538,0.9402816013393027
iw,0.942244027806309,0.923813088500447,0.9031312718070528,0.8827732787487564,0.8900198481075934,0.8810162772085958,0.9276032510385,0.8836249042852383,0.8111530614089109,0.8997335633349015
id,0.9001316165305326,0.9034504819134568,0.8920969059798989,0.8962467478105531,0.8929102420341719,0.8904514061381454,0.9393054432168522,0.8891289035243828,0.8956293015525849,0.74301025083417
