unlearn_lang,en,fr,ru,ar,ja,fa,hi,ko,iw,id
en,0.0015817751614221,0.2372736861716552,0.4499923459355034,0.6270292139159027,0.5719239791588676,0.6547167119942646,0.8598281290411569,0.3017788834592171,0.6081013603006985,0.2801058324473598
fr,0.3213618084244415,0.0324711255496218,0.4547327825864301,0.6087712462227982,0.6492770796214808,0.6427360364505572,0.8640271022912256,0.4126208405453008,0.6169153550808459,0.2453801586787809
ru,0.4548620705826877,0.5021436851905253,0.0070997950687036,0.5903472659965958,0.6203302400169053,0.6015733581209665,0.8022497778763629,0.6273834113329348,0.6111165377003287,0.4336120617954965
ar,0.6774704388725729,0.6317598221340219,0.6418324158223163,0.010072695086071,0.7351435672080789,0.5290091939463791,0.8781037355814757,0.7454195460316912,0.6413859057129716,0.6203635458341431
ja,0.6873643512574471,0.678908433517788,0.6648172658193452,0.7311655218300138,0.0026558534901654,0.6760673498290626,0.7538349001053607,0.2919920338910284,0.7201870868796652,0.7009624572059244
fa,0.6712512508060453,0.6288688453564054,0.5185593811741459,0.4145545114788585,0.6482066966893486,0.0019862256078963,0.7503586653924378,0.6680942875803846,0.5783758260663692,0.5934390911645625
hi,0.784016656749033,0.7791443667858096,0.6879876673857837,0.7137904239896,0.5551793523900116,0.6265772429118546,0.0448943723515206,0.6322988382345776,0.7638463161341669,0.8177754061796305
ko,0.2866150964981681,0.4211588819472467,0.5841658584610079,0.6998927743957424,0.3421806322571076,0.6733907684206695,0.7829448083697852,0.0025893421019785,0.7348491331342348,0.4248457576493999
iw,0.6306251209154545,0.5889291943048589,0.550470782492102,0.5247077032668888,0.6595315030353774,0.5895103498936092,0.8435646326220931,0.6862696001470292,0.0070932091993124,0.5786557994138379
id,0.3384778086555766,0.2833330855779165,0.4987683209591678,0.5767601475319044,0.6639561800622061,0.6019591916412548,0.8192780404631252,0.503253177134484,0.5550943799094048,0.0041182950481174
