unlearn_lang,en,fr,ru,ar,ja,fa,hi,ko,iw,id
en,0.7358279507974335,0.8695032885153284,0.8422059542463416,0.8651222212887378,0.8295221604521109,0.8672223874424738,0.9249783868158378,0.8368025758843877,0.8596627981037781,0.8714045259967987
fr,0.907351713267617,0.8352077632380202,0.8588372114978501,0.8705120380368391,0.8499956689176139,0.8670894939795492,0.930250021001489,0.8522823114802566,0.8665217485637267,0.8815005786097203
ru,0.8912601929880611,0.8790953701799509,0.7230680223601736,0.8428425738567745,0.8062792684233472,0.831138768106623,0.909715693419314,0.8074783593727689,0.8366665468112707,0.8537226837913202
ar,0.913996671280055,0.8944783850677152,0.8346808262644164,0.7461339453035748,0.8259251436671449,0.8290212187270456,0.913399530132789,0.8223384747132093,0.8366258569707,0.8610378021035481
ja,0.9205684956860852,0.9185135591286896,0.8575634464079452,0.8723973748571288,0.6839895151083698,0.858239463716981,0.9058143784408428,0.7708760675638328,0.8698681291338538,0.8940398332692865
fa,0.9224463160577362,0.9090301117586196,0.8513777101132933,0.8428053670536734,0.8327540073156814,0.702077471124106,0.9144171390817584,0.8186144982734871,0.8469141841928263,0.8750484893902191
hi,0.9359222072348404,0.9317143432502704,0.8730476507414427,0.8792357841251264,0.8249409474300833,0.8629633619898953,0.8268232856401793,0.8241077361803159,0.8722802916884591,0.9082847362058324
ko,0.9260955268641246,0.9232247262136836,0.8671156196782157,0.8741180093069795,0.7824980451796185,0.8579363811730738,0.9092153617498028,0.6953664225316419,0.8711739214892096,0.8983282325076126
iw,0.9203322278326712,0.8960702199414001,0.8418359471653108,0.8322630000100767,0.8216773588694106,0.8253909287699466,0.9006348817102497,0.8133318778809857,0.7550598740668917,0.8595893618753869
id,0.8791991368869273,0.8763191192153839,0.831550481367095,0.8449655478237212,0.8243458063795791,0.8342303452843606,0.911996854036782,0.8183980298367751,0.8336943787974022,0.709858710854474
