unlearn_lang,en,fr,ru,ar,ja,fa,hi,ko,iw,id
en,0.0041027274208122,0.1349740456854175,0.3455668800435795,0.5411694256778067,0.4968901132130657,0.5858108583285221,0.7891041424446369,0.2216841199105763,0.5193829955528007,0.1767384127058172
fr,0.1213843461324842,0.0037929252596634,0.3214867727849933,0.4695892617116954,0.5794499968248148,0.5159156926022994,0.8336727406344024,0.2686313843453151,0.4938696846916485,0.1943061209207092
ru,0.1932771810307795,0.2322548305947686,0.0028244759038025,0.4576252018719765,0.3706674149511593,0.309950732859307,0.4759259719931682,0.3356908435684084,0.3316374786929572,0.1768854821239153
ar,0.4812804367585794,0.4757642854021816,0.5039192130077975,0.0069014377547848,0.6164913118583372,0.4120687177645551,0.8098374888451326,0.6174957792636293,0.5133419454478637,0.5374381338674105
ja,0.4271053621736043,0.473675126607773,0.4265355065320866,0.5564578578520898,0.0002423138449076,0.4662367495622524,0.5397331820837685,0.178097516438229,0.524181383797287,0.4259785615851125
fa,0.5598975876634975,0.4955005031587534,0.3531756430881351,0.281272341924592,0.4852749359206569,0.0007180177008156,0.625617895468554,0.5478931342775,0.4325218345302778,0.48782634425158
hi,0.7071040337129189,0.7423077653726382,0.5965091753672562,0.6640903926271096,0.4647315315635563,0.5359937962730636,0.0310445663999601,0.5055234136020458,0.6666181765404818,0.6803862193857912
ko,0.1188918972211629,0.2614053267781456,0.4426458305309252,0.6374414390397037,0.2710799372010969,0.5668518542693907,0.7075661182759158,0.001563221610058,0.6228616085274632,0.2582008892687965
iw,0.2655414067767009,0.2660527442723203,0.2369416427790494,0.4497935231792876,0.4748516462787484,0.3899688593883463,0.6475392996421148,0.3714161225753867,0.0040954157880202,0.2596898821635161
id,0.0619339449125408,0.0640299683933293,0.204703800706263,0.3712843124014649,0.4224922530501102,0.3480235650476707,0.6621459121706383,0.2000289440640968,0.3552983577923529,0.0022661054283166
