unlearn_lang,en,fr,ru,ar,ja,fa,hi,ko,iw,id
en,0.7551539495028701,0.7938706526722515,0.843625699746564,0.8653086868952881,0.8371292833556501,0.8673571319674784,0.9247971708932228,0.8388761967804615,0.8599642125758922,0.8570385823016502
fr,0.8887021122197024,0.7880087752769708,0.843464051014869,0.8539836680098422,0.8347949199928247,0.8502414206236901,0.9216682871991464,0.8340276140592934,0.8521469412728748,0.8679571451002046
ru,0.8535399637966554,0.8667699974947998,0.5258123480237968,0.8343763270711169,0.792387776241462,0.8155296967253528,0.8995775955707177,0.7942777077197516,0.822740476247283,0.8368039843878097
ar,0.9224132238574724,0.9144107899073636,0.858188075746776,0.7592430871342344,0.8472117764231857,0.8526017463428623,0.9239183265297126,0.8516904965424119,0.8536637973923317,0.8831197162134604
ja,0.897218253052086,0.900662656975893,0.8294187588898919,0.8440196398971861,0.5724193305240965,0.835212517111926,0.8788470579473162,0.7245612221064041,0.8471192302116534,0.8745554463051332
fa,0.8948150563722237,0.865686098647553,0.7974625517399184,0.7867414041538203,0.7903463492181527,0.6063134595918901,0.8838077432322768,0.7833571251051765,0.7964596995536223,0.8207737698377768
hi,0.926536677270783,0.9212749670464808,0.8646925755797221,0.8651778505010868,0.8021255078413193,0.8526579649636022,0.7446286295330006,0.8016295444000816,0.8594025708395406,0.890890016778188
ko,0.9135734723265432,0.914293071613146,0.8664302131220603,0.8663731760329348,0.7557236103259956,0.8544408004545829,0.9051037450485252,0.654260746942323,0.8690363890870914,0.8934286317638157
iw,0.8986768182164301,0.8854953279718026,0.8217751022131031,0.8261680050474804,0.8141516725574968,0.814523683485779,0.9008395035578132,0.810094822658412,0.7171120850167781,0.8486121641801319
id,0.810291183543654,0.811617531027348,0.7668657522136965,0.7957630916962495,0.8057761822807609,0.7894008573277667,0.896686693012648,0.7931956768210833,0.7899868233888029,0.5542716772920915
