unlearn_lang,en,fr,ru,ar,ja,fa,hi,ko,iw,id
en,0.25922703740736125,0.7059077266404347,0.8375534932960539,0.9167622102888096,0.8951313079764927,0.9468633580491347,0.978782570703992,0.7362184145834819,0.8796556431781557,0.7965427468180042
fr,0.7218981987230182,0.34660909448052596,0.825534552187709,0.901450678451004,0.9100519466224639,0.9123299216281021,0.9840256301382612,0.782870304031441,0.8838655297379155,0.7665556554100008
ru,0.8453660570483472,0.8752938193879629,0.2644914872529092,0.9254391421919954,0.9492097703475962,0.9213157419994454,0.9731881772441555,0.9277505471724308,0.9174899053688833,0.8940162700796713
ar,0.9310768060426207,0.9171604024762969,0.9470100255206977,0.2894533817379849,0.9686040014985807,0.9035382648685188,0.9866986761553614,0.9661440359913386,0.9335202997045378,0.9257919487819593
ja,0.9496998511853857,0.9454935856715505,0.9500269567488102,0.9707765045986205,0.2786822831251447,0.9595803206136583,0.9589568626897785,0.8521697014488852,0.9701864180578788,0.9626521281069181
fa,0.934790047069973,0.9111520815692183,0.9095525217669558,0.8692623582543461,0.9511388992327194,0.2499600310709268,0.9665787679402456,0.958137734444797,0.9231371671425239,0.9039771679322347
hi,0.9541610283041014,0.9709803880021819,0.9436282618236077,0.943414518773561,0.9011418598985657,0.9217914505640168,0.5701779374313738,0.9082332695003765,0.9653140544982582,0.9755777238660747
ko,0.8465960337947688,0.8733061020583223,0.9152595152867068,0.9708713476567653,0.8348139168317336,0.957140526638632,0.9717615383245328,0.2791993016741955,0.9662243231438303,0.8890990104031985
iw,0.8953629028051734,0.8878467780153625,0.9021324193204314,0.9099310903986336,0.969025155009212,0.9161884177750991,0.9835047747995651,0.9484352660417728,0.2834053630178202,0.8899295607936831
id,0.8185280397225492,0.7973294793333845,0.8950609982266083,0.9307931385272852,0.9452131863388326,0.9390741299611673,0.9787689942095019,0.8871338892002161,0.9181226969419063,0.3080563736938026
