unlearn_lang,en,fr,ru,ar,ja,fa,hi,ko,iw,id
en,0.9783176491504378,0.9882664231791227,0.9867377591830016,0.9901204259258485,0.9866583292617636,0.9904373759687785,0.995013911033708,0.9882167160136199,0.9902165807804549,0.9885722136359185
fr,0.9903840019620733,0.9827958593356765,0.9885251080927232,0.9886857337873659,0.9871432460176779,0.9877160147842333,0.9949945187521056,0.9882778546527107,0.991150929620443,0.9892900542365727
ru,0.9955692267120341,0.9938442270240775,0.98215617159584,0.990086142664428,0.9903273234985108,0.9912848545551463,0.9953804432443645,0.9902007158271928,0.9905365395332375,0.9930036692276795
ar,0.9954050218241601,0.9944458670926849,0.9909111935896914,0.9778962890838536,0.9912251363551946,0.9900439140533722,0.9956680980712884,0.9920328121610172,0.9887992874577528,0.9929749257720402
ja,0.994879663274418,0.9969969474280103,0.9944116580214913,0.9925183974604267,0.9766410979817706,0.9926819200074405,0.995139724715045,0.9870959421672625,0.9934229855380838,0.99504878259896
fa,0.9960601141522122,0.9923435853641962,0.9898182879245296,0.9894687366544328,0.9905134112979925,0.9732668417493384,0.9954973060613754,0.9902507310266527,0.9884848213581852,0.9913345131330172
hi,0.9959928033632972,0.9957483690454239,0.9927723817192907,0.9923228862228411,0.9872434906517014,0.9913189863755814,0.9856589833740454,0.9877574874849315,0.9931819033601035,0.9945881933467625
ko,0.9960999665755293,0.9964539477057273,0.9938417916704896,0.9941950669998963,0.9856893263993037,0.9931731087205082,0.9953514507821813,0.9760211443658707,0.9942933482540595,0.9954735869377492
iw,0.9947052882267962,0.9930971653804699,0.9886703425489359,0.9895644193622356,0.9900042458900362,0.9891590029935308,0.995378414297349,0.9911589244709897,0.9798524022387183,0.9905183645970116
id,0.9938483105585888,0.991641169239223,0.9891026477987053,0.9891108468061055,0.9880703308607062,0.9881747063229792,0.995122643897142,0.9892223319331107,0.9890632254813156,0.9789970319241079
