unlearn_lang,en,fr,ru,ar,ja,fa,hi,ko,iw,id
en,0.254491496609627,0.6771855695262822,0.7557495398352976,0.8323863675446329,0.8117248652671767,0.8573258329529274,0.956690061000181,0.6847558736082252,0.8106719100655603,0.7530021848959024
fr,0.7087106145649212,0.3325061735276084,0.7449044901941179,0.8184840598088027,0.8252552303506862,0.826057955816581,0.96181477715281,0.7281467406140235,0.8145516518770599,0.724654245706069
ru,0.8299229709713295,0.8396796368925313,0.2386585709231635,0.840264702566808,0.860764410852139,0.8341940568380629,0.9512219409288352,0.8628996828053808,0.845539160487856,0.845147617490378
ar,0.9140679621930874,0.8798427415630574,0.8545154389962029,0.2628130242437549,0.8783515285495203,0.8180976578597825,0.9644274887331936,0.89860942118775,0.8603124305691316,0.8751863763453877
ja,0.9323508028921584,0.9070230968339714,0.8572377061774763,0.8814293600801413,0.2527152571989449,0.8688402509843998,0.9373118473118768,0.7926020279025823,0.8941031445044174,0.9100317072183716
fa,0.917713370001526,0.8740788887791805,0.8207164142749687,0.7892582489876749,0.862513787586486,0.226323249306371,0.9447617153594476,0.8911627696217543,0.8507435566901439,0.8545640334661284
hi,0.93673048354946,0.9314728855249284,0.8514639725783987,0.8565856833511954,0.8171753666692059,0.8346247813326766,0.5573082133551253,0.8447466860070829,0.8896128779961044,0.9222507649985184
ko,0.8311304785913775,0.8377727963223961,0.8258660050305651,0.8815154740885177,0.7570277211007781,0.8666311694056358,0.9498275032713916,0.2596829391137721,0.8904517621973274,0.8404991447061164
iw,0.8790064779606898,0.8517218374755906,0.8140210341537262,0.826183961939526,0.8787334398664719,0.829551583904572,0.9613056782572392,0.8821385152756743,0.2611803479488951,0.8412842956113245
id,0.803575228607772,0.7648875301764463,0.8076402796342661,0.8451259343141061,0.8571402200913709,0.8502731717618388,0.9566767909464116,0.8251221774321345,0.8461223277273937,0.2912174185116801
