unlearn_lang,en,fr,ru,ar,ja,fa,hi,ko,iw,id
en,0.9555669603625536,0.9585879678499368,0.919768080274232,0.9334679876358484,0.9108952028632792,0.927903430149432,0.9660856999591328,0.909603332240718,0.9217407199134376,0.9444642202046378
fr,0.967352711226692,0.9532816895481676,0.9214341221989234,0.9321153853176668,0.9113428840246808,0.9253538894726728,0.9660668714726788,0.9096596072550386,0.9226104562813564,0.9451500322816682
ru,0.9724173540422636,0.96399826564757,0.9154974440485129,0.9334356659846534,0.9142824638334336,0.9286974008802918,0.9664415759156024,0.9114295033753964,0.9220385527480484,0.9486979536558852
ar,0.9722569677242628,0.9645818379689772,0.9236582645878127,0.9219432880945658,0.9151113357944438,0.927534810517543,0.966720867704123,0.9131158550665064,0.9204214358366488,0.948670492672214
ja,0.971743826340262,0.9670563072589434,0.9269211532535618,0.9357287526945004,0.901647170744861,0.930006258822026,0.9662078558376096,0.9085717167976526,0.9247253940614926,0.9506518184103198
fa,0.9728968259392476,0.9625426894937338,0.9226395341944416,0.932853586541978,0.9144542623971634,0.9118170041054507,0.9665550411597758,0.9114755398280836,0.9201287158250576,0.9471032717625444
hi,0.9728310804566644,0.9658452247144058,0.9253931342804534,0.9355444281651498,0.9114354311137152,0.9287293776958154,0.9570027497250372,0.9091806356872332,0.9245009832966125,0.9502117796727232
ko,0.9729357515980512,0.9665296142659224,0.926389963608901,0.9373094870172728,0.9100006074062724,0.9304664350055636,0.9664134263562736,0.898377927499416,0.9255355690999442,0.9510576688813728
iw,0.971573506368662,0.9632736388809328,0.9215694996239152,0.9329437945029144,0.9139841945795448,0.9267057707137888,0.9664396059565136,0.912311485800158,0.912093249273386,0.94632353804153
id,0.970736457638918,0.9618613675040044,0.9219724644096168,0.932516174336588,0.912198780246419,0.9257836202789912,0.966191271613272,0.9105289506566996,0.9206671219103556,0.9353162627726748
